Model,Accuracy,Sensitivity (Recall),Specificity,Precision (PPV),NPV,F1-Score
CatBoost,0.986013986013986,0.9864864864864865,0.9855072463768116,0.9864864864864865,0.9855072463768116,0.9864864864864865
AdaBoost,0.9790209790209791,0.9864864864864865,0.9710144927536232,0.9733333333333334,0.9852941176470589,0.9798657718120806
HistGradientBoosting,0.965034965034965,0.9594594594594594,0.9710144927536232,0.9726027397260274,0.9571428571428572,0.9659863945578231
RandomForest,0.965034965034965,0.972972972972973,0.9565217391304348,0.96,0.9705882352941176,0.9664429530201343
LightGBM,0.958041958041958,0.972972972972973,0.9420289855072463,0.9473684210526315,0.9701492537313433,0.9599999999999999
XGBoost,0.951048951048951,0.972972972972973,0.927536231884058,0.935064935064935,0.9696969696969697,0.9536423841059603
GradientBoosting,0.951048951048951,0.9594594594594594,0.9420289855072463,0.9466666666666667,0.9558823529411765,0.9530201342281879
Stacking,0.951048951048951,0.972972972972973,0.927536231884058,0.935064935064935,0.9696969696969697,0.9536423841059603
DecisionTree,0.9230769230769231,0.9594594594594594,0.8840579710144928,0.8987341772151899,0.953125,0.9281045751633986
LogisticRegression,0.9090909090909091,0.8648648648648649,0.9565217391304348,0.9552238805970149,0.868421052631579,0.9078014184397162
NaiveBayes,0.8251748251748252,0.9594594594594594,0.6811594202898551,0.7634408602150538,0.94,0.8502994011976047
KNN,0.8111888111888111,0.7837837837837838,0.8405797101449275,0.8405797101449275,0.7837837837837838,0.8111888111888113
SVM,0.5314685314685315,0.21621621621621623,0.8695652173913043,0.64,0.5084745762711864,0.3232323232323232
