Model,Accuracy,Sensitivity (Recall),Specificity,Precision (PPV),NPV,F1-Score
AdaBoost,0.986013986013986,1.0,0.9710144927536232,0.9736842105263158,1.0,0.9866666666666666
LightGBM,0.986013986013986,1.0,0.9710144927536232,0.9736842105263158,1.0,0.9866666666666666
RandomForest,0.986013986013986,0.9864864864864865,0.9855072463768116,0.9864864864864865,0.9855072463768116,0.9864864864864865
Stacking,0.9790209790209791,0.9864864864864865,0.9710144927536232,0.9733333333333334,0.9852941176470589,0.9798657718120806
CatBoost,0.9790209790209791,0.9864864864864865,0.9710144927536232,0.9733333333333334,0.9852941176470589,0.9798657718120806
XGBoost,0.972027972027972,1.0,0.9420289855072463,0.9487179487179487,1.0,0.9736842105263158
GradientBoosting,0.972027972027972,0.9864864864864865,0.9565217391304348,0.9605263157894737,0.9850746268656716,0.9733333333333333
HistGradientBoosting,0.972027972027972,0.9864864864864865,0.9565217391304348,0.9605263157894737,0.9850746268656716,0.9733333333333333
NaiveBayes,0.9440559440559441,0.8918918918918919,1.0,1.0,0.8961038961038961,0.9428571428571428
LogisticRegression,0.9440559440559441,0.8918918918918919,1.0,1.0,0.8961038961038961,0.9428571428571428
DecisionTree,0.9440559440559441,0.9459459459459459,0.9420289855072463,0.9459459459459459,0.9420289855072463,0.9459459459459459
KNN,0.916083916083916,0.8783783783783784,0.9565217391304348,0.9558823529411765,0.88,0.9154929577464789
SVM,0.8881118881118881,0.8378378378378378,0.9420289855072463,0.9393939393939394,0.8441558441558441,0.8857142857142858
