Model,Accuracy,Sensitivity (Recall),Specificity,Precision (PPV),NPV,F1-Score
GradientBoosting,0.9333333333333333,0.9393939393939394,0.9259259259259259,0.9393939393939394,0.9259259259259259,0.9393939393939394
LightGBM,0.9333333333333333,0.9393939393939394,0.9259259259259259,0.9393939393939394,0.9259259259259259,0.9393939393939394
HistGradientBoosting,0.9333333333333333,0.9393939393939394,0.9259259259259259,0.9393939393939394,0.9259259259259259,0.9393939393939394
Stacking,0.9166666666666666,0.9090909090909091,0.9259259259259259,0.9375,0.8928571428571429,0.923076923076923
CatBoost,0.9166666666666666,0.9090909090909091,0.9259259259259259,0.9375,0.8928571428571429,0.923076923076923
XGBoost,0.9,0.8787878787878788,0.9259259259259259,0.9354838709677419,0.8620689655172413,0.90625
RandomForest,0.8833333333333333,0.8484848484848485,0.9259259259259259,0.9333333333333333,0.8333333333333334,0.888888888888889
AdaBoost,0.8,0.8181818181818182,0.7777777777777778,0.8181818181818182,0.7777777777777778,0.8181818181818182
DecisionTree,0.7833333333333333,0.7878787878787878,0.7777777777777778,0.8125,0.75,0.8
LogisticRegression,0.75,0.7272727272727273,0.7777777777777778,0.8,0.7,0.761904761904762
KNN,0.7,0.7878787878787878,0.5925925925925926,0.7027027027027027,0.6956521739130435,0.7428571428571429
NaiveBayes,0.6,0.5151515151515151,0.7037037037037037,0.68,0.5428571428571428,0.5862068965517241
SVM,0.5666666666666667,0.9090909090909091,0.14814814814814814,0.5660377358490566,0.5714285714285714,0.6976744186046512
